record_number,name,birth_year,death_year,active_date,details,title,technique,medium
b12963240,"Adams, Wayman",1883,1959,Unknown,None,Joseph Pennell in His Workshop Printing.,painting,
b12963252,"Adams, Wayman",1883,1959,Unknown,None,Edward Tyson Reichert.,painting,
b12963185,"Adams, Wayman",1883,1959,Unknown,None,Henry Hobart Nichols.,painting,
b12963197,"Adams, Wayman",1883,1959,Unknown,None,Hayley Lever.,painting,
b12963203,"Adams, Wayman",1883,1959,Unknown,None,Henry Jones Fuller.,painting,
b1296329x,"Adams, Wayman",1883,1959,Unknown,None,The Art Critic.,painting,
b12963306,"Adams, Wayman",1883,1959,Unknown,None,John McLure Hamilton.,painting,oil on canvas. 
b12963318,"Adams, Wayman",1883,1959,Unknown,None,Dean Meeks.,painting,
b1296332x,"Adams, Wayman",1883,1959,Unknown,None,General Jonathan Mayhew Wainright.,painting,
b12963264,"Adams, Wayman",1883,1959,Unknown,None,Joseph Pennell at Work.,painting,oil on canvas. 
b12963276,"Adams, Wayman",1883,1959,Unknown,None,Professor Alexander Ernestinoff.,painting,oil on canvas.
b12963288,"Adams, Wayman",1883,1959,Unknown,None,George W. Mixter.,painting,
b10871214,"Adams, Wayman",1883,1959,Unknown,None,Edward G. McCollin.,painting,oil on canvas.
b12963331,"Adams, Wayman",1883,1959,Unknown,None,Edward E. Kennedy.,painting,
b10805199,"Adams, Wayman",1883,1959,Unknown,None,Robert Underwood Johnson.,painting,oil on canvas.
b12081681,"Adams, Wayman",1883,1959,Unknown,None,Cornelia Otis Skinner as The Empress Eugénie.,painting,oil on canvas.
b12963343,"Adams, Wayman",1883,1959,Unknown,None,Emillie Baptiste of New Orleans.,painting,oil on canvas. 
b12963355,"Adams, Wayman",1883,1959,Unknown,None,Mrs. Charles Deering.,painting,
b12963379,"Adams, Wayman",1883,1959,Unknown,None,Mrs. Nicholas Longworth (Alice Lee Roosevelt).,painting,
b12963367,"Adams, Wayman",1883,1959,Unknown,None,Portrait of Lillian Genth.,painting,
b12967439,"Agate, Alfred T.",1812,1846,Unknown,attributed to,Mrs. Thomas William Shedden (Matilda Cecilia Dowdall).,miniature,
b12967397,"Agate, Alfred T.",1812,1846,Unknown,attributed to,Sidney James Barculo.,painting,oil on canvas.
b12967403,"Agate, Alfred T.",1812,1846,Unknown,None,Vendovi.,drawing,
b12967415,"Agate, Alfred T.",1812,1846,Unknown,None,Richard Key Watts.,miniature,
b12967427,"Agate, Alfred T.",1812,1846,Unknown,None,British Officer (John Trumbull Ray).,miniature,on ivory.
b10932926,"Agate, Alfred T.",1812,1846,Unknown,None,Portrait of a Man.,miniature,
b10879535,"Agate, Alfred T.",1812,1846,Unknown,None,"Hiland Hill, Jr.",miniature,on ivory.
b10805205,"Agate, Alfred T.",1812,1846,Unknown,None,Portrait of a Lady.,miniature,watercolor on ivory.
b10932938,"Agate, Alfred T.",1812,1846,Unknown,None,Portrait of a Lady.,miniature,
b10929320,"Agate, Alfred T.",1812,1846,Unknown,None,William Edmond Armitage.,painting,oil on canvas.
b12967385,"Agate, Alfred T.",1812,1846,Unknown,None,"Nathaniel Sturgis Jarvis, M.D.",painting,oil on panel.
b12967464,"Agate, Frederick Styles",1803,1844,Unknown,None,Metamora.,painting,
b12967452,"Agate, Frederick Styles",1803,1844,Unknown,None,Edwin Forrest in the Title Role of John Augustus Stone's Metamora.,painting,oil on canvas.
b12967518,"Akers, Charles",1835,1906,Unknown,None,James Russell Lowell.,drawing,crayon.
b12967646,"Albright, Ivan",1897,1983,Unknown,None,Among Those Left.,painting,oil on canvas.
b12967658,"Albright, Ivan",1897,1983,Unknown,None,"Heavy the Oar to Him Who Is Tired, Heavy the Coat, Heavy the Sea.",painting,oil on canvas.
b1296766x,"Albright, Ivan",1897,1983,Unknown,None,"Fleeting Time, Thou Hast Left Me Old.",painting,oil on canvas.
b12967634,"Albright, Ivan",1897,1983,Unknown,None,I Drew a Picture in the Sand and the Water Washed It Away.,painting,
b12967701,"Alden, G.",Unknown,Unknown,1844.,None,Portrait of a Young Woman.,painting,oil on canvas.
b12967762,"Alden, Noah",1802,Unknown,Unknown,None,Obediah Sargent.,painting,
b13622055,"Alden, Noah",1802,Unknown,Unknown,attributed to,"Rev. Joseph Waite of Sterling, Massachusetts.",painting,oil on panel.
b1178684x,"Alexander, Donald",Unknown,Unknown,19th century,None,Mrs. Joseph Parker (Mary Keens).,painting,oil on canvas.
b11971575,"Alexander, Francesca",1837,1917,Unknown,None,"Wanaus, Tuscarora Indian.",drawing,pen and brown ink on heavy ivory card stock.
b12967877,"Alexander, Francesca",1837,1917,Unknown,None,Antonietta Buoni.,drawing,
b12963938,"Alexander, Francis",1800,1880,Unknown,attributed to,William St. Agnan Stearns.,painting,oil on canvas. 
b10928248,"Alexander, Francis",1800,1880,Unknown,attributed to,Mrs. Edward Lathrop as a Child.,painting,oil on panel.
b12963525,"Alexander, Francis",1800,1880,Unknown,attributed to,The Reverend William James.,painting,
b10805254,"Alexander, Francis",1800,1880,Unknown,attributed to,John Stevenson Walsh.,painting,oil on canvas.
b10979761,"Alexander, Francis",1800,1880,Unknown,attributed to,Benjamin Clifford.,painting,oil on canvas.
b12963720,"Alexander, Francis",1800,1880,Unknown,attributed to,James Brown Mason.,painting,oil on canvas. 
b12963641,"Alexander, Francis",1800,1880,Unknown,attributed to,The Rev. John Bristed.,painting,
b12963653,"Alexander, Francis",1800,1880,Unknown,attributed to,Joseph Tuckerman.,painting,oil on canvas. 
b10979773,"Alexander, Francis",1800,1880,Unknown,attributed to,Mrs. Benjamin Clifford.,painting,oil on canvas.
b11490068,"Alexander, Francis",1800,1880,Unknown,None,Edward B. Haven.,drawing, pastel.
b11673151,"Alexander, Francis",1800,1880,Unknown,None,Captain George Wilson.,drawing,pastel.
b12963963,"Alexander, Francis",1800,1880,Unknown,None,Pleasant Thoughts.,painting,
b12963926,"Alexander, Francis",1800,1880,Unknown,None,Master Lord.,painting,oil on panel. 
b11490196,"Alexander, Francis",1800,1880,Unknown,None,Owen Glendower Peabody.,painting,
b1296394x,"Alexander, Francis",1800,1880,Unknown,None,Portrait of a Young Girl.,painting,
b11490159,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Samuel Osgood (Ellen Haswell Murdock).,painting, oil on panel.
b11704809,"Alexander, Francis",1800,1880,Unknown,None,Mrs. John Rutherford Mathews (Catharine Teresa Romeyn Van Cortlandt).,painting,oil on canvas.
b1090377x,"Alexander, Francis",1800,1880,Unknown,None,Joseph Hurlbut Patten.,painting,oil on panel.
b12019495,"Alexander, Francis",1800,1880,Unknown,None,Judge Platt Potter.,painting,oil on canvas.
b12007596,"Alexander, Francis",1800,1880,Unknown,None,James P. Thorndike.,painting,oil on canvas.
b12016251,"Alexander, Francis",1800,1880,Unknown,None,John L. Gould.,painting,oil on panel.
b12963562,"Alexander, Francis",1800,1880,Unknown,None,Portrait of Charles Dickens.,painting,oil on canvas. 
b12023723,"Alexander, Francis",1800,1880,Unknown,None,Major-General David Hammond Vinton.,painting,oil on canvas.
b11977437,"Alexander, Francis",1800,1880,Unknown,None,Stephen Salisbury II.,painting,oil on canvas.
b12963574,"Alexander, Francis",1800,1880,Unknown,None,Benjamin Bowen Carter.,painting,oil on canvas. 
b12963513,"Alexander, Francis",1800,1880,Unknown,None,Portrait of a Man.,painting,oil on canvas. 
b12963537,"Alexander, Francis",1800,1880,Unknown,None,Daniel Webster.,painting,oil on panel. 
b11021895,"Alexander, Francis",1800,1880,Unknown,None,Alexander Townsend.,painting,oil on canvas.
b1081713x,"Alexander, Francis",1800,1880,Unknown,None,Cyrus Alger.,painting,oil on canvas.
b12963549,"Alexander, Francis",1800,1880,Unknown,None,Francis Calley Gray.,painting,oil on canvas. 
b12963550,"Alexander, Francis",1800,1880,Unknown,None,Nathan Ward Neal.,painting,oil on canvas. 
b12963586,"Alexander, Francis",1800,1880,Unknown,None,Zachary Taylor.,painting,
b12963665,"Alexander, Francis",1800,1880,Unknown,None,Dr. Solomon D. Townsend.,painting,
b12963677,"Alexander, Francis",1800,1880,Unknown,None,Andrew Cunningham.,painting,
b12963689,"Alexander, Francis",1800,1880,Unknown,None,Samuel Eddy.,painting,oil on canvas. 
b11022826,"Alexander, Francis",1800,1880,Unknown,None,George Bouton Warren.,painting,oil on panel.
b12963690,"Alexander, Francis",1800,1880,Unknown,None,Daniel Webster.,painting,oil on canvas. 
b10933554,"Alexander, Francis",1800,1880,Unknown,None,James Freeman Curtis.,painting,oil on canvas.
b12963707,"Alexander, Francis",1800,1880,Unknown,None,Abiel Fox.,painting,
b11960991,"Alexander, Francis",1800,1880,Unknown,None,Self-Portrait.,painting,oil on canvas.
b11986414,"Alexander, Francis",1800,1880,Unknown,None,Commodore Oliver Hazard Perry.,painting,oil on panel.
b12963719,"Alexander, Francis",1800,1880,Unknown,None,William Barrett.,painting,
b10813962,"Alexander, Francis",1800,1880,Unknown,None,Dr. William Richards Lawrence.,painting,oil on canvas.
b12963604,"Alexander, Francis",1800,1880,Unknown,None,Andrew Jackson.,painting,oil on canvas. 
b11544740,"Alexander, Francis",1800,1880,Unknown,None,Judge Samuel Sumner Wilde.,painting,oil on canvas.
b12963616,"Alexander, Francis",1800,1880,Unknown,None,Frederick Tudor.,painting,
b12963628,"Alexander, Francis",1800,1880,Unknown,None,Benjamin Blydenburg Wisner.,painting,
b1296363x,"Alexander, Francis",1800,1880,Unknown,None,James Gates Percival.,painting,
b11986293,"Alexander, Francis",1800,1880,Unknown,None,Self-Portrait.,painting,
b10805278,"Alexander, Francis",1800,1880,Unknown,None,Robert Gould Shaw.,painting,oil on canvas.
b12963598,"Alexander, Francis",1800,1880,Unknown,None,Dr. Prince.,painting,
b12963744,"Alexander, Francis",1800,1880,Unknown,None,Aaron Baldwin.,painting,oil on wood. 
b12963732,"Alexander, Francis",1800,1880,Unknown,None,Nathaniel Parker Willis.,painting,oil on canvas. 
b10805242,"Alexander, Francis",1800,1880,Unknown,None,Mary Ann Dyke Duff.,painting,oil on canvas.
b12007602,"Alexander, Francis",1800,1880,Unknown,None,Mrs. James P. Thorndike (Martha E. Hodgdon).,painting,oil on canvas.
b12963756,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Mary E. Edwards.,painting,
b11001574,"Alexander, Francis",1800,1880,Unknown,None,Mrs. David Low (Mary Haswell Langdon).,painting,oil on canvas.
b12079248,"Alexander, Francis",1800,1880,Unknown,None,Angelica Schuyler.,painting,
b12963768,"Alexander, Francis",1800,1880,Unknown,None,Mrs. David Lee Child (Lydia Maria Francis).,painting,
b10813974,"Alexander, Francis",1800,1880,Unknown,None,Mrs. William Richards Lawrence (Susan Coombs Dana).,painting,oil on canvas.
b10969974,"Alexander, Francis",1800,1880,Unknown,None,Maria Louisa Sampson Ricketson.,painting,oil on canvas.
b1296377x,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Lemuel Shaw (Hope Savage).,painting,
b11606940,"Alexander, Francis",1800,1880,Unknown,None,Portrait of a Lady.,painting,oil on canvas.
b11841734,"Alexander, Francis",1800,1880,Unknown,None,"Mrs. Gustavus Tuckerman, Sr. (Jane Francis).",painting,
b12963781,"Alexander, Francis",1800,1880,Unknown,None,Hannah Adams.,painting,
b10805266,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Robert Gould Shaw (Elizabeth Willard Parkman).,painting,oil on canvas.
b10251467,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Charles Sigourney (Mary Greenleaf).,painting,oil on canvas.
b12963859,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Fletcher Webster (Caroline Story White).,painting,oil on canvas. 
b10979475,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Jared Sparks (Mary Crowninsheild Silsbee).,painting,oil on canvas.
b10805217,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Frederick Hall Bradlee (Lucretia Wainwright).,painting,oil on canvas.
b12963793,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Francis George Shaw (Sarah Blake Sturgis).,painting,oil on canvas. 
b11490214,"Alexander, Francis",1800,1880,Unknown,None,Mrs. James Savage (Elizabeth Otis Stillman).,painting,
b1296380x,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Tuckerman.,painting,
b11643122,"Alexander, Francis",1800,1880,Unknown,None,Mrs. John A. Tardy (Cecilia Eustaphieve).,painting,oil on canvas. 
b12963811,"Alexander, Francis",1800,1880,Unknown,None,Caroline Stearns.,painting,oil on canvas. 
b12963835,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Tuckerman.,painting,
b1196117x,"Alexander, Francis",1800,1880,Unknown,None,Mary P. Townsend.,painting,oil on canvas.
b12105727,"Alexander, Francis",1800,1880,Unknown,None,Mrs. George Clarke (Maria Beverley).,painting,oil on canvas.
b12963847,"Alexander, Francis",1800,1880,Unknown,None,Miss Sally Arnold.,painting,oil. 
b10805229,"Alexander, Francis",1800,1880,Unknown,None,Mrs. John Stevenson Walsh (Laura Spencer Townsend).,painting,oil on canvas.
b12963860,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Benjamin Bussey (Judith Gay).,painting,
b12963872,"Alexander, Francis",1800,1880,Unknown,None,Sarah White Sprague (Mrs. William Stearns).,painting,oil on canvas. 
b11851181,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Samuel W. Bridgham (Elizabeth Paine).,painting,oil on canvas.
b12963884,"Alexander, Francis",1800,1880,Unknown,None,Madame Powel.,painting,
b12963896,"Alexander, Francis",1800,1880,Unknown,None,Mrs. John Peter Van Ness (Marcia Burns).,painting,
b12963902,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Samuel A. Shurtleff.,painting,
b12963914,"Alexander, Francis",1800,1880,Unknown,None,Mrs. James Brown Mason (Alice Brown).,painting,oil on canvas. 
b1102351x,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Pierre Van Cortlandt III (Catharine Elizabeth Beck).,painting,oil on canvas.
b10929204,"Alexander, Francis",1800,1880,Unknown,None,Mrs. Matthew Stanley Parker (Ann Quincy).,painting,oil on canvas.
b12106677,"Alexander, Francis",1800,1880,Unknown,None,Mrs. William Emerson (Ruth Haskins).,painting,oil on canvas.
b11818086,"Alexander, J. B.",1830,1840,1830-1840.,None,Portrait of a Girl.,painting,on ivory.
b12967956,"Alexander, J. B.",1830,1840,1830-1840.,None,William Sanders.,miniature,
b11818074,"Alexander, J. B.",1830,1840,1830-1840.,None,Portrait of a Lady.,miniature,on ivory.
b12967968,"Alexander, J. B.",1830,1840,1830-1840.,None,Mrs. William Sanders (Sarah Gwinn Bracey).,miniature,
b12968110,"Alexander, John White",1856,1915,Unknown,None,Ray of Sunlight.,painting,oil on canvas.
b12968122,"Alexander, John White",1856,1915,Unknown,None,The Gossip.,painting,
b12968134,"Alexander, John White",1856,1915,Unknown,None,Woman in Rose.,painting,oil on canvas.
b12968146,"Alexander, John White",1856,1915,Unknown,None,Study in Black and Green.,painting,oil on canvas.
b12968158,"Alexander, John White",1856,1915,Unknown,None,A Meadow Flower.,painting,
b1296816x,"Alexander, John White",1856,1915,Unknown,None,The Ring.,painting,oil on canvas.
b1207844x,"Alexander, John White",1856,1915,Unknown,None,Parke Godwin.,painting,oil on canvas.
b12967981,"Alexander, John White",1856,1915,Unknown,None,Samuel Langhorne Clemens (Mark Twain).,painting,oil on canvas.
b12967993,"Alexander, John White",1856,1915,Unknown,None,"William Thomas Manning, Bishop of New York.",painting,oil on canvas.
b1296802x,"Alexander, John White",1856,1915,Unknown,None,Grover Cleveland.,painting,
b12968031,"Alexander, John White",1856,1915,Unknown,None,Joseph Mosenthal.,painting,oil on canvas.
b12968043,"Alexander, John White",1856,1915,Unknown,None,Walt Whitman.,painting,oil on canvas.
b12968006,"Alexander, John White",1856,1915,Unknown,None,Oliver Wendell Holmes.,painting,oil on canvas.
b11018720,"Alexander, John White",1856,1915,Unknown,None,Edwin Austin Abbey.,painting,oil on canvas.
b12025550,"Alexander, John White",1856,1915,Unknown,None,Dr. David L. Haight.,painting,oil on canvas.
b12968018,"Alexander, John White",1856,1915,Unknown,None,Frits Thaulow.,painting,oil on canvas.
b12968055,"Alexander, John White",1856,1915,Unknown,None,John Gilbert as Sir Peter Teazle.,painting,
b12025367,"Alexander, John White",1856,1915,Unknown,None,George Campbell Cooper.,painting,oil on canvas.
b12053430,"Alexander, John White",1856,1915,Unknown,None,Worthington Whittredge.,painting,oil on canvas.
b12968079,"Alexander, John White",1856,1915,Unknown,None,Jeremiah Milbank.,painting,oil on canvas.
b12968067,"Alexander, John White",1856,1915,Unknown,None,Cornelius Newton Bliss.,painting,
b11020003,"Alexander, John White",1856,1915,Unknown,None,Self-Portrait.,painting,oil on canvas.
b10150444,"Alexander, John White",1856,1915,Unknown,None,Mrs. Henry W. Draper.,painting,oil on canvas.
b12968092,"Alexander, John White",1856,1915,Unknown,None,Mrs. John W. Alexander.,painting,oil on canvas.
b12968080,"Alexander, John White",1856,1915,Unknown,None,Mrs. Clarence Hungerford Mackay (Katherine Duer).,painting,
b12727301,"Alexander, John White",1856,1915,Unknown,None,Mrs. J. Borden Harriman (Florence Jaffray Jones).,painting,oil on canvas.
b12968109,"Alexander, John White",1856,1915,Unknown,None,Mrs. Thruston Wright (Virginia Frew).,painting,
b12727507,"Alexander, John White",1856,1915,Unknown,None,Mrs. Thomas Hastings (Helen R. Benedict).,painting,oil on canvas.
b10794013,"Alexander, John White",1856,1915,Unknown,None,Mrs. Samuel Tilton (Helen Reed).,painting,oil on canvas.
b10791243,"Allen, Joel Nott",1865,1940,Unknown,None,Theophylact Bache.,painting,oil on canvas.
b11352164,"Allen, Joel Nott",1865,1940,Unknown,None,Richard Bache.,painting,oil on canvas.
b12967804,"Allen, Marion Boyd",1862,1941,Unknown,None,The Reverend Caleb R. Stetson.,painting,oil on canvas.
b12967816,"Allen, Marion Boyd",1862,1941,Unknown,None,Anna Vaughn Hyatt.,painting,oil on canvas.
b1202529x,"Allen, William R.",1878,1879,1878-1879.,None,Mrs. Archibald Gracie (Esther Rogers).,drawing,pastel.
b12963999,"Allston, Washington",1779,1843,Unknown,attributed to,"James Bogert, Jr.",miniature,
b1081291x,"Allston, Washington",1779,1843,Unknown,None,Head of a Man Looking Up.,drawing,graphite on blue-gray wove paper.
b10813196,"Allston, Washington",1779,1843,Unknown,None,Italian Shepherd Boy.,painting,oil on canvas.
b10813172,"Allston, Washington",1779,1843,Unknown,None,The Mother.,painting,
b10813160,"Allston, Washington",1779,1843,Unknown,None,The Sisters.,painting,oil on canvas.
b1081324x,"Allston, Washington",1779,1843,Unknown,None,Man in Chains.,painting,oil on panel.
b10813238,"Allston, Washington",1779,1843,Unknown,None,Head of a Man.,painting,oil on canvas.
b10813226,"Allston, Washington",1779,1843,Unknown,None,Head of a Man.,painting,oil on canvas.
b10813214,"Allston, Washington",1779,1843,Unknown,None,Spanish Girl in Reverie,painting,oil on canvas.
b10813202,"Allston, Washington",1779,1843,Unknown,None,A Study from Life.,painting,oil on paperboard.
b12963975,"Allston, Washington",1779,1843,Unknown,None,Man in a Green Coat.,miniature,
b12963987,"Allston, Washington",1779,1843,Unknown,None,Captain A.H. Pray.,miniature,
b11006729,"Allston, Washington",1779,1843,Unknown,None,Aaron Burr.,miniature,
b10979803,"Allston, Washington",1779,1843,Unknown,None,Edwin Plummer.,miniature,ivory.
b12964001,"Allston, Washington",1779,1843,Unknown,None,John Harris.,miniature,watercolor on ivory. 
b10813287,"Allston, Washington",1779,1843,Unknown,None,Benjamin West.,miniature,oil on canvas.
b10813445,"Allston, Washington",1779,1843,Unknown,None,Samuel Taylor Coleridge.,painting,oil on canvas.
b10813433,"Allston, Washington",1779,1843,Unknown,None,Benjamin West.,painting,oil on canvas.
b1081341x,"Allston, Washington",1779,1843,Unknown,None,Self-Portrait.,painting,oil on canvas.
b10813408,"Allston, Washington",1779,1843,Unknown,None,Robert Rogers.,painting,oil on canvas.
b10813391,"Allston, Washington",1779,1843,Unknown,None,Self-Portrait.,painting,oil on canvas.
b10813457,"Allston, Washington",1779,1843,Unknown,None,Samuel Williams.,painting,oil on canvas.
b10813469,"Allston, Washington",1779,1843,Unknown,None,Samuel Taylor Coleridge.,painting,oil on canvas.
b1081338x,"Allston, Washington",1779,1843,Unknown,None,Self-Portrait.,painting,oil on canvas.
b10813378,"Allston, Washington",1779,1843,Unknown,None,Supposed Portrait of General Heath.,painting,oil on canvas.
b10813366,"Allston, Washington",1779,1843,Unknown,None,Joseph Willard.,painting,oil on canvas.
b10813354,"Allston, Washington",1779,1843,Unknown,None,Portrait of a Man.,painting,oil on panel.
b10813342,"Allston, Washington",1779,1843,Unknown,None,Rev. William Ellery Channing.,painting,oil on canvas.
b10813330,"Allston, Washington",1779,1843,Unknown,None,Self-Portrait as a Young Man.,painting,oil on canvas.
b10813329,"Allston, Washington",1779,1843,Unknown,None,Portrait of a Man.,painting,oil on canvas.
b10813317,"Allston, Washington",1779,1843,Unknown,None,Isaac of York.,painting,oil on canvas.
b10813421,"Allston, Washington",1779,1843,Unknown,None,Man of the Theater.,painting,oil on canvas.
b10813299,"Allston, Washington",1779,1843,Unknown,None,Mrs. John Turner Sargent (Christiana Keadie Swan).,painting,oil on canvas.
b10813305,"Allston, Washington",1779,1843,Unknown,None,The Valentine.,painting,oil on canvas.
b10817736,"Allston, Washington",1779,1843,Unknown,None,Mrs. Henry Collins Flagg (Rachel Moore).,painting,oil on canvas.
b10813275,"Allston, Washington",1779,1843,Unknown,None,Portrait of a Lady.,painting,oil on canvas.
b10813263,"Allston, Washington",1779,1843,Unknown,None,Mary Carroll Caton.,painting,oil on canvas.
b12040484,"Allston, Washington",1779,1843,Unknown,None,Mrs. William Channing (Lucy Ellery).,painting,oil on canvas.
b12967853,"Allworthy, Joseph",1897,Unknown,Unknown,None,Jorg Quintas.,painting,
b12968407,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Governor Henry Schuyler Thibodaux.,painting,
b12968420,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Charles M. Conrad.,painting,oil on canvas.
b10979505,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Pierre Landreaux.,painting,oil on canvas.
b12968432,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Michel Doradou Bringier.,painting,oil on canvas.
b10979578,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Charles Urquhart.,painting,oil on canvas.
b12968419,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Portrait of an Unknown Man.,painting,oil on canvas.
b12968444,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Julien Poydras.,painting,
b10998007,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Zachary Taylor.,painting,oil on canvas.
b10979529,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Thomas Urquhart.,painting,oil on canvas.
b12968468,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Louis Amadée Bringier.,painting,oil on canvas.
b12968456,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Alexander Charles Jaume.,painting,oil on canvas.
b10979748,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Mrs. James Bryden Behn (Marie Amélie Longer).,painting,oil on canvas.
b10979530,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Mrs. Isidore Labatut (Caroline Urquhart).,painting,oil on canvas.
b12968493,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Mrs. William J. Fort.,painting,
b12024429,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Mrs. Thomas Pennant Barton (Coralie Livingston).,painting,oil on canvas. 
b1296847x,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Marie Elizabeth Rosella Bringier (Mrs. Hore Browse Trist).,painting,oil.
b12968481,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Mrs. Michel Doradou Bringier (Louise Elisabeth Aglae Du Bourg de Ste. Colombe).,painting,oil on canvas.
b1296850x,"Amans, Jacques Guillaume Lucien",1801,1888,Unknown,None,Isabelle Bowman (Mrs. William Wilson Matthews).,painting,
b11813751,"Ames, Ezra",1768,1836,Unknown,attributed to,Hugh Walsh.,miniature,on ivory.
b12965212,"Ames, Ezra",1768,1836,Unknown,attributed to,Maurice Levy.,miniature,watercolor on ivory.
b12965303,"Ames, Ezra",1768,1836,Unknown,attributed to,Portrait of a Man.,miniature,watercolor on ivory.
b12965364,"Ames, Ezra",1768,1836,Unknown,attributed to,Portrait of a Lady.,miniature,watercolor on ivory. 
b11705139,"Ames, Ezra",1768,1836,Unknown,attributed to,Citizen Genêt.,painting,oil on canvas.
b12084487,"Ames, Ezra",1768,1836,Unknown,attributed to,Joseph Bradley Varnum (1749-1821).,painting,oil on panel.
